correctAns,practice_image,image,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,experiment_loop.thisRepN,experiment_loop.thisTrialN,experiment_loop.thisN,experiment_loop.thisIndex,welcome_keypress.keys,welcome_keypress.rt,response_keys_practice.keys,response_keys_practice.corr,response_keys_practice.rt,key_resp_2.keys,response_keys.keys,response_keys.corr,response_keys.rt,key_resp_2.rt,expName,participant,gender,age,frameRate,session,date,
,,,,,,,,,,,space,28.8415279388,,,,,,,,,experiment_premade_feedback,,,,60.9054712208,001,2017_Feb_05_2044,
y,duckling2.png,,0,0,0,0,,,,,,,y,1,1.21380496025,,,,,,experiment_premade_feedback,,,,60.9054712208,001,2017_Feb_05_2044,
n,baby_donald.png,,0,1,1,1,,,,,,,n,1,1.10396695137,,,,,,experiment_premade_feedback,,,,60.9054712208,001,2017_Feb_05_2044,
y,,duck4.png,,,,,0,0,0,7,,,,,,None,y,1,0.347542047501,,experiment_premade_feedback,,,,60.9054712208,001,2017_Feb_05_2044,
n,,daisy_duck.png,,,,,0,1,1,4,,,,,,None,n,1,0.230345010757,,experiment_premade_feedback,,,,60.9054712208,001,2017_Feb_05_2044,
y,,duck2.png,,,,,0,2,2,3,,,,,,None,y,1,0.21209192276,,experiment_premade_feedback,,,,60.9054712208,001,2017_Feb_05_2044,
n,,donald_duck.png,,,,,0,3,3,2,,,,,,None,n,1,0.296350002289,,experiment_premade_feedback,,,,60.9054712208,001,2017_Feb_05_2044,
n,,baby_duck.png,,,,,0,4,4,6,,,,,,space,y,0,0.278027057648,3.52699708939,experiment_premade_feedback,,,,60.9054712208,001,2017_Feb_05_2044,
n,,daffy_duck.png,,,,,0,5,5,0,,,,,,None,n,1,0.211179018021,,experiment_premade_feedback,,,,60.9054712208,001,2017_Feb_05_2044,
y,,duck3.png,,,,,0,6,6,5,,,,,,None,y,1,0.199996948242,,experiment_premade_feedback,,,,60.9054712208,001,2017_Feb_05_2044,
y,,duck.png,,,,,0,7,7,1,,,,,,None,n,0,0.246906042099,,experiment_premade_feedback,,,,60.9054712208,001,2017_Feb_05_2044,
